NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,玉井公園,,熊谷市玉井1973-314,,36.17812,135.498651,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
2,外原公園,,熊谷市拾六間774-2,,36.171419,135.5040007,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
3,寿公園,,熊谷市拾六間788-29,,36.170665,135.475372,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
4,籠原第1公園,,熊谷市新堀1154-12,,36.17417,135.5774312,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
5,美土里町公園,,熊谷市美土里町1-20,,36.1697,135.511401,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
6,別府第1公園,,熊谷市別府2-83,,36.185784,135.4259661,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
7,別府第2公園,,熊谷市別府4-44,,36.182735,135.5328017,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
8,別府第3公園,,熊谷市別府5-51,,36.180231,135.531116,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
9,玉井稲荷木第1公園,,熊谷市玉井南3-19,,36.174145,135.4860178,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
10,玉井稲荷木第2公園,,熊谷市玉井南2-88,,36.176345,135.4847127,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
11,玉井在家第1公園,,熊谷市玉井3-69,,36.180113,135.4779643,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
12,玉井在家第2公園,,熊谷市玉井2-24,,36.178647,135.49091,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
13,玉井在家第3公園,,熊谷市玉井5-71,,36.177553,135.507804,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
14,新堀第２公園,,籠原中央第一土地区画整理事業地内,,36.17595943,135.518436,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
15,新堀第３公園,,籠原中央第一土地区画整理事業地内,,36.17804335,135.530583,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
16,新堀第４公園,,籠原中央第一土地区画整理事業地内,,36.1771088,135.516059,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
17,新堀第５公園,,籠原中央第一土地区画整理事業地内,,36.17890417,135.497763,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
18,広瀬川原公園,,熊谷市瀬南68,,36.145467,135.4984249,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
19,籠原中央公園,,籠原南2-102,,36.168979,135.439455,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
20,籠原南第1公園,,熊谷市籠原南1-303,,36.172941,135.4395986,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
21,籠原南第2公園,,熊谷市籠原南1-56,,36.171759,135.5052558,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
22,籠原南第3公園,,籠原南3-141,,36.171257,135.5083515,,,,,,,1,,,1,,,,,,,,,指定緊急避難場所(一時避難場所)
