NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,仁藤町公会堂,,仁藤町９－１,,34.7736591,138.0194464,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
2,駅前公園,,駅前１３－１,,34.7711116,138.0176934,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
3,塩町公会堂,,塩町８－９,,34.7714038,138.0191713,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
4,塩町公会堂２階,,塩町８－９,,34.7714038,138.0191713,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
5,喜町区公会堂,,喜町３－６,,34.7724744,138.021242,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
6,新町区公会堂,,掛川３１,,34.7724333,138.0231088,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
7,東伝寺,,掛川４２　,,34.7728077,138.0235814,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
8,道神町公会堂,,葛川１６７－１２,,34.7727762,138.0225527,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
9,加藤医院東側空地,,葛川８６,,34.7743325,138.0215348,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
10,神明町公会堂,,掛川９１０－１,,34.7764065,138.0210081,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
11,旭町公会堂,,旭町４２－５,,34.779339,138.0230643,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
12,旭ケ丘公会堂,,旭ケ丘２丁目３－１,,34.7821498,138.0258404,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
13,旭ヶ丘北公園,,旭ヶ丘２丁目１０－９,,34.7833234,138.0238414,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
14,旭ヶ丘西公園,,旭ヶ丘１丁目３－４,,34.7817182,138.0220673,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
15,旭ヶ丘南公園,,旭ヶ丘１丁目１８－１,,34.7807714,138.0228569,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
16,紺屋町公会堂,,紺屋町６－１０,,34.7717311,138.014395,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
17,中町公会堂,,掛川６１２－２,,34.7731067,138.0126593,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
18,掛川商工会議所,,掛川５５１－２,,34.7739811,138.0124492,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
19,緑町公会堂,,掛川１１３８－６２,,34.7733904,138.0141648,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
20,蓮福寺,,肴町６,,34.7717245,138.0163416,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
21,大手門駐車場,,城下８－１,,34.7736202,138.0170431,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
22,松尾区公民館,,掛川１０６８－６,,34.7751068,138.0173299,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
23,研屋町公会堂,,掛川３６２－２,,34.7719466,138.0128255,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
24,新知川公園,,中央１丁目２０,,34.7716562,138.0095077,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
25,瓦町公園(仮),,掛川４８６,,34.7735027,138.0110755,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
26,日本キリスト教団掛川協会,,掛川５０２,,34.7740862,138.0117565,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
27,下俣公会堂,,下俣１０９０－４,,34.7716188,138.0056281,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
28,下俣児童公園,,中央２丁目１７－１,,34.7719357,138.0066623,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
29,十九首公民館,,下俣１０４１－３,,34.7741919,138.004584,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
30,十九首公民館２階,,下俣１０４１－３,,34.7741919,138.004584,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
31,十九首水源地公園,,大池１４４５－１他,,34.7752813,138.0030573,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
32,清崎公園,,清崎７７他,,34.7747311,137.9996349,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
33,市営住宅十九首団地２階,,大池１４４５－１,,34.7749689,138.0038789,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
34,おだか公園,,小鷹町３４,,34.7717163,138.0039916,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
35,中央一丁目児童会館,,中央１丁目２５－６,,34.7689678,138.0094965,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
36,中央二丁目集会所,,南西郷９０３－３,,34.7687035,138.0078063,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
37,中央三丁目公会堂,,中央３丁目１２４,,34.7696484,138.0024625,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
38,中央三丁目公園,,中央３丁目１３６,,34.7704861,138.0009068,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
39,山麓公園,,中央高町４８,,34.7725554,137.9987449,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
40,城西けやき公園,,城西２丁目１８２９－１４,,34.7767855,138.0051144,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
41,城西公園,,城西１丁目１２６９－１,,34.7749558,138.0088736,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
42,西保育園跡地,,城西２－３－６２,,34.7752676,138.0053634,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
43,ココス掛川店駐車場,,城西２丁目６－１０,,34.77597,138.0072997,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
44,ファッションセンターしまむら駐車場,,城西１丁目１２３４－１,,34.7760408,138.0112472,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
45,二瀬川公会堂,,二瀬川１６－１３,,34.7773927,138.0002279,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
46,七日町公園,,七日町１８０,,34.7787862,138.0027363,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
47,さんりーな,,大池２２５０　,,34.7853968,138.0011787,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
48,殊勝寺,,大池２４３７－１,,34.7829398,137.9961995,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
49,遠山食堂,,大池２７５２－１,,34.7789993,137.9885168,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
50,秋葉通り区公会堂,,大池５９４,,34.7762695,137.9925264,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
51,鳥居町公会堂,,大池３７１,,34.7743942,137.9950056,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
52,つくし会館,,長谷４３３,,34.7701093,137.9920267,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
53,つくし会館２階,,長谷４３３,,34.7701093,137.9920267,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
54,立花公園,,長谷２４７－２,,34.7701188,137.9913327,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
55,末広公会堂,,大池７７８－５,,34.7695883,137.9878108,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
56,秋葉路秋公園,,秋葉路２４－５,,34.7825439,137.9925166,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
57,秋葉路自然公園,,秋葉路２５－２５,,34.7807955,137.9919596,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
58,秋葉路夏公園,,秋葉路２６－１２,,34.7849136,137.9955726,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
