NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,中央・袋井南公民館,,高尾754-1,,34.7407802,137.9304344,,0538-43-3386,,,静岡県,袋井市,,,,1,,,,,,,,,
2,袋井南小学校,,高尾740,,34.7420634,137.9319427,,0538-42-2185,,,静岡県,袋井市,,,,1,,,,,,,,,
3,袋井南幼稚園,,愛野3082-2,,34.7422162,137.9338842,,0538-42-5074,,,静岡県,袋井市,,,,1,,,,,,,,,
4,袋井南保育所,,高尾676-2,,34.7413607,137.9334787,,0538-42-2547,,,静岡県,袋井市,,,,1,,,,,,,,,
5,天理教山名大教会,,三門町7-1,,34.7417134,137.9231182,,0538-42-4151,,,静岡県,袋井市,,,,1,,,,,,,,,西棟、巽棟
6,高南小学校,,上田町306-2,,34.7347087,137.9347621,,0538-43-4593,,,静岡県,袋井市,,,,1,,,,,,,,,
7,高南公民館,,上田町267-8,,34.7372139,137.9338759,,0538-42-4224,,,静岡県,袋井市,,,,1,,,,,,,,,
8,袋井体育センター,,上田町267-19,,34.7361113,137.9341121,,0538-43-1790,,,静岡県,袋井市,,,,1,,,,,,,,,
9,サンライフ袋井,,上田町267-5,,34.7357297,137.9340729,,0538-43-5051,,,静岡県,袋井市,,,,1,,,,,,,,,
10,高南幼稚園,,小川町19-1,,34.7349086,137.9270153,,0538-43-2939,,,静岡県,袋井市,,,,1,,,,,,,,,
11,県立袋井特別支援学校,,高尾2753-1,,34.7325645,137.930968,,0538-43-6611,,,静岡県,袋井市,,,,1,,,,,,,,,体育館、教育棟
12,袋井南中学校,,愛野3110,,34.7419829,137.9423087,,0538-42-3161,,,静岡県,袋井市,,,,1,,,,,,,,,
13,県立袋井高校,,愛野2446-1,,34.7412385,137.9448557,,0538-42-0191,,,静岡県,袋井市,,,,1,,,,,,,,,体育館、柔剣道場、卓球場
14,静岡理工科大学,,豊沢2200-2,,34.7382501,137.9614074,,0538-45-0111,,,静岡県,袋井市,,,,1,,,,,,,,,体育館
15,小笠山総合運動公園,,愛野2300-1,,34.7446358,137.9687761,,0538-41-1800,,,静岡県,袋井市,,,,1,,,,,,,,,エコパアリーナ、サブアリーナ
16,豊沢ふれあい会館,,豊沢210-1,,34.7298733,137.9499639,,0538-43-0900,,,静岡県,袋井市,,,,1,,,,,,,,,
17,袋井中学校,,川井701,,34.7456711,137.9188659,,0538-42-4155,,,静岡県,袋井市,,,,1,,,,,,,,,
18,袋井西公民館,,川井579-1,,34.7446101,137.9168023,,0538-43-3304,,,静岡県,袋井市,,,,1,,,,,,,,,
19,袋井西小学校,,川井442,,34.7461071,137.9161107,,0538-42-3009,,,静岡県,袋井市,,,,1,,,,,,,,,
20,袋井西幼稚園,,川井568-1,,34.7450822,137.9154024,,0538-42-7647,,,静岡県,袋井市,,,,1,,,,,,,,,
21,田原幼稚園,,新池190-1,,34.7292395,137.9076927,,0538-42-2918,,,静岡県,袋井市,,,,1,,,,,,,,,
22,田原農村総合管理センター,,新池3078,,34.7277043,137.9093195,,0538-44-6272,,,静岡県,袋井市,,,,1,,,,,,,,,
23,袋井北小学校,,久能1580,,34.7586389,137.9149358,,0538-42-3024,,,静岡県,袋井市,,,,1,,,,,,,,,
24,若草幼稚園,,堀越766-1,,34.7580389,137.9103364,,0538-42-2027,,,静岡県,袋井市,,,,1,,,,,,,,,
25,袋井北公民館,,久能1330-2,,34.7582697,137.9195131,,0538-43-3387,,,静岡県,袋井市,,,,1,,,,,,,,,
26,若葉幼稚園,,久能1310,,34.7587169,137.9204185,,0538-41-1717,,,静岡県,袋井市,,,,1,,,,,,,,,
27,県立袋井商業高校,,久能2350,,34.7666102,137.9160912,,0538-42-2285,,,静岡県,袋井市,,,,1,,,,,,,,,体育館、生活館
28,袋井東小学校　,,広岡2317-1,,34.758048,137.9448082,,0538-42-2345,,,静岡県,袋井市,,,,1,,,,,,,,,
29,袋井東幼稚園,,国本2288,,34.7608031,137.9379448,,0538-42-4091,,,静岡県,袋井市,,,,1,,,,,,,,,
30,袋井東公民館,,広岡2506-1,,34.7580786,137.9460109,,0538-43-3389,,,静岡県,袋井市,,,,1,,,,,,,,,
31,今井小学校,,太田692,,34.7675871,137.8907554,,0538-42-2950,,,静岡県,袋井市,,,,1,,,,,,,,,
32,今井公民館,,太田687,,34.7680704,137.8911442,,0538-43-3388,,,静岡県,袋井市,,,,1,,,,,,,,,
33,今井幼稚園,,太田723-1,,34.7669539,137.891422,,0538-42-2951,,,静岡県,袋井市,,,,1,,,,,,,,,
34,静岡県温室農業協同組合クラウンメロン支所,,小山219,,34.7543112,137.899946,,0538-42-4146,,,静岡県,袋井市,,,,1,,,,,,,,,
35,三川小学校　　　　　　　　　　　　　,,友永38,,34.7981284,137.8791418,,0538-48-6197,,,静岡県,袋井市,,,,1,,,,,,,,,
36,三川幼稚園,,友永113-1,,34.7979229,137.8797917,,0538-48-6429,,,静岡県,袋井市,,,,1,,,,,,,,,
37,三川公民館,,友永147,,34.801442,137.8795361,,0538-49-0393,,,静岡県,袋井市,,,,1,,,,,,,,,
38,笠原小学校,,山崎4822,,34.697325,137.9536084,,0538-23-4004,,,静岡県,袋井市,,,,1,,,,,,,,,
39,笠原幼稚園,,山崎5093-13,,34.6993332,137.9543638,,0538-23-4121,,,静岡県,袋井市,,,,1,,,,,,,,,
40,笠原公民館,,山崎5093-5,,34.699086,137.953986,,0538-23-2283,,,静岡県,袋井市,,,,1,,,,,,,,,
41,コミュニティ防災センター(南部健康ﾌﾟﾗｻﾞ),,山崎5093-5,,34.699086,137.953986,,0538-42-7275,,,静岡県,袋井市,,,,1,,,,,,,,,
42,笠原保育所,,岡崎567-1,,34.6987804,137.9523585,,0538-23-3501,,,静岡県,袋井市,,,,1,,,,,,,,,
43,岡崎会館,,岡崎2525,,34.7002247,137.9498393,,0538-23-5129,,,静岡県,袋井市,,,,1,,,,,,,,,
44,中遠クリーンセンター(サンサーラいごおか),,岡崎6635-192,,34.7162613,137.9440202,,0538-30-0530,,,静岡県,袋井市,,,,1,,,,,,,,,研修室、会議室、体験学習室
45,風見の丘,,岡崎6635-8,,34.714992,137.9434175,,0538-24-0345,,,静岡県,袋井市,,,,1,,,,,,,,,多目的室、フィットネス室
46,山名公民館,,上山梨4-3-1,,34.7870188,137.9035533,,0538-49-3401,,,静岡県,袋井市,,,,1,,,,,,,,,
47,月見の里学遊館,,上山梨4-3-7,,34.7871438,137.9020507,,0538-49-3400,,,静岡県,袋井市,,,,1,,,,,,,,,
48,周南中学校,,下山梨1-1-1,,34.7768922,137.9092557,,0538-48-6239,,,静岡県,袋井市,,,,1,,,,,,,,,
49,山名小学校,,春岡684,,34.7902713,137.9132632,,0538-48-6295,,,静岡県,袋井市,,,,1,,,,,,,,,
50,山梨幼稚園,,春岡1-8-7,,34.7924655,137.913913,,0538-48-6145,,,静岡県,袋井市,,,,1,,,,,,,,,
51,宇刈いきいきセンター,,宇刈1121-1,,34.7953405,137.9280642,,0538-49-3030,,,静岡県,袋井市,,,,1,,,,,,,,,
52,浅羽北公民館,,浅羽2857,,34.7190078,137.9264912,,0538-23-6099,,,静岡県,袋井市,,,,1,,,,,,,,,
53,浅羽東小学校,,浅羽2800,,34.7209604,137.9276382,,0538-23-6669,,,静岡県,袋井市,,,,1,,,,,,,,,
54,浅羽東幼稚園,,浅羽2617-1,,34.7201189,137.9289103,,0538-23-3033,,,静岡県,袋井市,,,,1,,,,,,,,,
55,浅羽北小学校,,浅羽1322,,34.708048,137.9222228,,0538-23-3006,,,静岡県,袋井市,,,,1,,,,,,,,,
56,浅羽北幼稚園,,浅名41,,34.7073981,137.9228172,,0538-30-0800,,,静岡県,袋井市,,,,1,,,,,,,,,
57,浅羽中学校,,浅名822,,34.7033906,137.9337883,,0538-23-3149,,,静岡県,袋井市,,,,1,,,,,,,,,
58,メロープラザ,,浅名1027,,34.7078038,137.9326938,,0538-30-4555,,,静岡県,袋井市,,,,1,,,,,,,,,
59,浅羽西公民館,,中410-1,,34.7024957,137.9158766,,0538-23-2364,,,静岡県,袋井市,,,,1,,,,,,,,,
60,浅羽西幼稚園,,長溝873-1,,34.7037787,137.9094135,,0538-23-3043,,,静岡県,袋井市,,,,1,,,,,,,,,
61,浅羽東公民館,,梅山63-1,,34.687745,137.9337249,,0538-23-7470,,,静岡県,袋井市,,,,1,,,,,,,,,
62,浅羽南小学校,,西同笠148,,34.6812485,137.9347667,,0538-23-2004,,,静岡県,袋井市,,,,1,,,,,,,,,
63,浅羽南幼稚園,,松原1793,,34.6811763,137.9330169,,0538-23-2009,,,静岡県,袋井市,,,,1,,,,,,,,,
64,上田町グランド,,上田町267-31,,34.735855,137.935263,,0538-43-1790,,,静岡県,袋井市,,,,1,,,,,,,,,多目的広場
65,北地区コミュニティ広場,,久能1330-2,,34.758164,137.920003,,0538-43-3387,,,静岡県,袋井市,,,,1,,,,,,,,,コミュニティ広場兼ゲートボール場
66,ジャスコ袋井店,,上山梨4-1-1,,34.784969,137.9027729,,0538-30-1111,,,静岡県,袋井市,,,,1,,,,,,,,,屋外駐車場
67,パティオ,,上山梨4-1-2,,34.7856328,137.9026368,,0538-30-1221,,,静岡県,袋井市,,,,1,,,,,,,,,屋外駐車場
68,浅羽北多目的運動広場,,浅羽2440,,34.717524,137.925441,,0538-23-6099,,,静岡県,袋井市,,,,1,,,,,,,,,多目的広場
