市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,緯度,経度,電話番号,FAX番号,団体名,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
022063,0000000001,青森県,十和田市,十和田湖保育園,トワダコホイクエン,認定私立保育所,青森県十和田市大字奥瀬字十和田湖畔休屋16-195,40.427047,140.897495,0176-75-2251,0176-75-2261,社会福祉法人生きがい十和田,20,0～5歳,月火水木金土,07:00,18:30,休日保育あり,無,http://ikigai-towada.net/towadako/,
022063,0000000002,青森県,十和田市,みきの保育園,ミキノホイクエン,認定私立保育所,青森県十和田市西三番町22-35,40.610153,141.210024,0176-23-3644,0176-23-3644,社会福祉法人三徳会,90,0～5歳,月火水木金土,07:00,19:00,,無,http://www.santokukai.or.jp/,
022063,0000000003,青森県,十和田市,とわだこ中央保育園,トワダコチュウオウホイクエン,認定私立保育所,青森県十和田市大字奥瀬字中平211,40.585924,141.110445,0176-70-3061,0176-70-3067,社会福祉法人健佑会,60,0～5歳,月火水木金土,07:00,19:00,,有,http://towadako-chu-o.ken-yu-kai.net/,
022063,0000000004,青森県,十和田市,友愛保育園,ユウアイホイクエン,認定私立保育所,青森県十和田市東十二番町4-26,40.619164,141.220209,0176-23-3098,0176-24-3611,社会福祉法人友愛会,120,0～5歳,月火水木金土,07:00,20:00,,有,http://www.yuuai-hoikuen.or.jp/page1,
022063,0000000005,青森県,十和田市,第二友愛保育園,ダイニユウアイホイクエン,認定私立保育所,青森県十和田市元町西四丁目10-11,40.619683,141.198508,0176-23-4514,0176-24-3612,社会福祉法人友愛会,135,0～5歳,月火水木金土,07:00,20:00,,有,http://www.yuuai-hoikuen.or.jp/page1,
022063,0000000006,青森県,十和田市,第三友愛保育園,ダイサンユウアイホイクエン,認定私立保育所,青森県十和田市西十四番町50-18,40.601515,141.206938,0176-23-4792,0176-24-3613,社会福祉法人友愛会,120,0～5歳,月火水木金土,07:00,20:00,,有,http://www.yuuai-hoikuen.or.jp/page1,
022063,0000000007,青森県,十和田市,豊ヶ岡保育所,トヨガオカホイクショ,認定私立保育所,青森県十和田市大字八斗沢字家ノ下465,40.671407,141.257468,0176-27-3466,0176-27-3466,社会福祉法人豊ヶ岡保育会,50,0～5歳,月火水木金土,07:00,18:30,,無,http://www.ans.co.jp/n/toyogaoka/index2.html,
022063,0000000008,青森県,十和田市,十和田めぐみ保育園,トワダメグミホイクエン,認定私立保育所,青森県十和田市西一番町5-51,40.619689,141.205538,0176-22-0141,0176-22-0141,社会福祉法人三徳会,100,0～5歳,月火水木金土,07:00,19:00,,無,http://www.santokukai.or.jp/,
022063,0000000009,青森県,十和田市,白菊かねざき保育園,シラギクカネザキホイクエン,認定私立保育所,青森県十和田市西二十二番町28-15,40.61045,141.193165,0176-23-4369,0176-23-4392,社会福祉法人至誠会,70,0～5歳,月火水木金土,07:00,19:00,,無,http://shiseikai-1960.or.jp/facilities/kanezaki_nursery/,
022063,0000000010,青森県,十和田市,白菊保育園,シラギクホイクエン,認定私立保育所,青森県十和田市東六番町1-24,40.603363,141.22545,0176-23-2997,0176-23-8844,社会福祉法人至誠会,100,0～5歳,月火水木金土,07:00,19:00,休日保育あり,無,http://shiseikai-1960.or.jp/facilities/shiragiku_nursery/,
