番号,施設名,所在地,利用可能日時（施設により、下記に掲載している日時でも年末年始など休館日や、利用可能時間に変更がある場合があります）
1,セレオ八王子北館,東京都八王子市旭町1-1,全日
2,親子つどいの広場「ゆめきっず」,東京都八王子市旭町1-1,月曜日から土曜日（祝休日を除く）
3,八王子東急スクエア,東京都八王子市旭町9-1,全日
4,八王子しごと情報館（マザーズコーナー）,東京都八王子市旭町10-2　八王子TCビル3階,月曜日から金曜日（祝休日を除く）　午前9時から午後5時まで
5,八王子駅南口総合事務所,東京都八王子市子安町4-7-1,月曜日から金曜日（祝休日を除く）
6,スーパーアルプス八王子駅南口店,東京都八王子市子安町4-7-1,全日
7,北原ライフサポートクリニック,東京都八王子市子安町4-7-1,全日（祝休日を除く）　
8,市立子安保育園,東京都八王子市子安町4-31-1,月曜日から金曜日（祝休日を除く）　
9,子安市民センター,東京都八王子市子安町2-6-1,全日（毎月第2月曜日・第4月曜日を除く（祝休日のときは開館））
10,子ども家庭支援センター,東京都八王子市東町5-6,全日（毎月第1火曜日は休館、ただし祝日と重なった場合は第2火曜日が休館）
11,京王八王子ショッピングセンター,東京都八王子市明神町3-27-1,全日
12,おもちゃカフェ dattochi,東京都八王子市明神町2-14-12,月曜日、火曜日、木曜日から日曜日、祝日（日曜日は時々お休みします）
13,八王子共励保育園子育て広場エレファントプレイス,東京都八王子市明神町1-18-11,月曜日から金曜日（祝休日を除く）
14,光明第一保育園,東京都八王子市八木町8-11,月曜日から金曜日（祝休日を除く）
15,本町幼稚園,東京都八王子市本町16-3,月曜日から金曜日（祝休日、職員研修等によるお休みを除く）
16,まちなか・交流活動拠点kikki+,東京都八王子市八日町3-15,全日
17,たねカフェ,東京都八王子市八日町7-18,月曜日から金曜日（祝休日を除く）
18,コニカミノルタ サイエンスドーム（こども科学館),東京都八王子市大横町9-13,火曜日から金曜日（毎週月曜日は休館）
19,大横保健福祉センター,東京都八王子市大横町11-35,月曜日から日曜日（毎月第1日曜日は休館）
20,右田病院,東京都八王子市暁町1-48-18,月曜日から土曜日（祝休日を除く）
21,八王子市役所（本庁舎）1階・4階,東京都八王子市元本郷町3-24-1,月曜日から金曜日（祝休日を除く）　午前8時30分から午後5時15分まで
22,白百合ベビーホーム,東京都八王子市元本郷町2-6-20,月曜日から金曜日（祝休日を除く）
23,中央図書館,東京都八王子市千人町3-3-6,月曜日から日曜日、祝日
24,市立千人保育園,東京都八王子市千人町3-5-17,月曜日から土曜日（祝休日を除く）
25,横山事務所,東京都八王子市並木町15-15,月曜日から金曜日（祝休日を除く）
26,ヤオコー八王子並木町店,東京都八王子市並木町35-1,全日
27,ママカフェ MAHALOHA,東京都八王子市長房町450-1,月曜日から土曜日
28,市立長房中央保育園,東京都八王子市長房町588,月曜日から土曜日（祝休日を除く）
29,市立長房西保育園,東京都八王子市長房町588,月曜日から土曜日（祝休日を除く）
30,中郷児童館,東京都八王子市長房町891-2,月曜日から土曜日（祝休日を除く）
31,都立陵南公園サービスセンター,東京都八王子市長房町1369,全日（年末年始は除く）　午前9時から午後5時まで
32,南多摩病院,東京都八王子市散田町3-10-1,月曜日から金曜日（一般外来診察日に準じます）
33,親子つどいの広場西八王子,東京都八王子市散田町3-16-20,月曜日から土曜日（祝休日を除く）
34,島田療育センターはちおうじ,東京都八王子市台町4-33-13,月曜日から金曜日
35,八王子市富士森体育館,東京都八王子市台町2-3-7,全日（第1月曜日（祝日を除く）は除く）
36,八王子実践幼稚園,東京都台町1-12-15,月曜日から金曜日（夏季休業期間を除く）
37,西八王子骨盤整骨院,東京都八王子市台町2-12-43,月曜日から土曜日
38,ふじもり桜花整骨院,東京都八王子市緑町604-1ハイブリッジマンション1号室,全日（第2・第4木曜日を除く）
39,光明第五保育園,東京都八王子市山田町1688-2,月曜日から土曜日（祝休日を除く）
40,地域子ども家庭支援センター館,東京都八王子市館町156,月曜日から土曜日（祝休日を除く）
41,イトーヨーカドー 八王子店,東京都八王子市狭間町1462-1 3階,全日
42,エスフォルタアリーナ八王子（八王子市総合体育館）,東京都八王子市狭間町1453-1,全日（体育館の休館日を除く）
43,studio MORIE PARK,東京都八王子市めじろ台1-9-1,月曜日から土曜日　午前10時から午後4時まで
44,グルメシティ高尾店,東京都八王子市初沢町1227-4,全日
45,東浅川保健福祉センター,東京都八王子市東浅川町551-1,全日（第2月曜日は休館）
