site,dataset_title,dataset_notes,resource_title,resource_notes,filepath,column_name, dataset_url,memo
埼玉県,"092045_栃木県_佐野市_イベント一覧","イベント一覧のデータです。栃木県佐野市のオープンデータです。","イベント一覧","平成29年度のイベント一覧データのCSVです。","https://www.geospatial.jp/ckan/dataset/609dd2ae-90fd-49c6-8125-aff213a99e9c/resource/333574d2-4698-4f4d-8a59-c51a46c5cbcc/download/109.csv",,,"テキストからのみ"
G空間,"高砂市ベストスポット2018","2018年に高砂市役所が発表した、市民投票によるベストスポットの位置情報です。 推奨データセット及びNGSIに準じたオープンデータです。",,,https://www.geospatial.jp/ckan/dataset/2dc3b2b5-a856-4845-8f59-c18b07dd08b2/resource/8e74fffc-e02f-4d01-bcf7-ee32fe00806b/download/takasagocitybestspot2018.csv,,https://www.geospatial.jp/ckan/dataset/2018,"テキストからのみ"
東京都,"東京都イベント一覧","【東京都総務局】東京都が主催者等であるイベント情報の一覧です。 内閣官房情報通信技術（IT）総合戦略室が平成29年12月22日に公開した、推奨データセットに準拠して作成しています。",,,http://www.opendata.metro.tokyo.jp/suisyoudataset/130001_event.csv,"開始日",,"テキストとデータから"
東京都,"イベント一覧","文京区のイベント情報一覧です。","イベント一覧","文京区のイベント情報一覧です。",https://www.city.bunkyo.lg.jp/library/opendata-bunkyo/10sonota/01event/131059_event.csv,"開始日",,"データからのみ"
東京都,"住宅着工統計（平成30年11月）","【東京都住宅政策本部】　建築基準法第15条第１項の規定により、建築主からの届出を基に基幹統計として集計されたものの東京都部分について改めて取りまとめたもの。","平成30年11月新設住宅着工戸数","【東京都住宅政策本部】　建築基準法第15条第１項の規定により、建築主からの届出を基に基幹統計として集計されたものの東京都部分について改めて取りまとめたもの。",http://www.metro.tokyo.jp/tosei/hodohappyo/press/2019/01/09/documents/05_01.xls,,https://catalog.data.metro.tokyo.lg.jp/dataset/t000030d0000010038,"テキストのみ"
東京都,"国勢調査による人口と世帯（年齢別）【2010年度（平成22年度）】","【中野区】中野区の2010年度(平成22年度)国勢調査による人口と世帯（年齢別）の一覧です。",,,https://www.city.tokyo-nakano.lg.jp/dept/212500/d027582_d/fil/131148_kokusei_2010_nenre.csv,"",,"テキストとデータ"
DATAGOV,"Measure Dates","Data Collection Periods for all measures on Hospital Compare.",,,https://data.medicare.gov/api/views/4j6d-yzce/rows.csv?accessType=DOWNLOAD,"Measure Start Date",https://catalog.data.gov/dataset/measure-dates,データ(米国表記)に期間あり
DATAGOV,"Measure Dates","Data Collection Periods for all measures on Hospital Compare.",,,https://data.medicare.gov/api/views/4j6d-yzce/rows.csv?accessType=DOWNLOAD,"Measure End Date",https://catalog.data.gov/dataset/measure-dates,データ(米国表記)に期間あり
DATAGOV,"Austin Code COVID-19 Complaint Cases","This dataset displays info on COVID-19 complaints which Austin Code has received since March 17th, 2020.",,,https://data.austintexas.gov/api/views/4p54-9544/rows.csv?accessType=DOWNLOAD,"OPENDATE",https://catalog.data.gov/dataset/austin-code-covid-19-complaint-cases,データあり（但し日付だけでなく時刻あり）
DATAGOVUK,"Coronavirus Service Requests","A data set which shows the service requests that have been made by Leeds residents for assistance during the Covid-19 Pandemic.",,,https://datamillnorth.org/download/coronavirus-service-requests/dd0b350d-0b0e-40e2-8a2e-8b906cd9c8d8/SERVICE%2520REQUESTS%252013.07.csv,"Date",https://data.gov.uk/dataset/7ac20f2c-b0cc-4c4d-8310-24e3f8061928/coronavirus-service-requests,"データに日付時刻あり"
東京都,"東京都_新型コロナウイルス陽性患者発表詳細","東京都 新型コロナウイルス対策サイト https://stopcovid19.metro.tokyo.lg.jp/ で公開している都内 新型コロナウイルス陽性患者の詳細データです。（注）退院済フラグには、死亡退院含む",,,https://stopcovid19.metro.tokyo.lg.jp/data/130001_tokyo_covid19_patients.csv,"公表_年月日",https://catalog.data.metro.tokyo.lg.jp/dataset/t000010d0000000068,"データあり"
